Academic_Year,AOS_Code,Course,Stage_Code,Course_Stage,Mode_Group,Level_Group,School,Fees_Status,Gender,White_BME,Ethnicity_Group,Disability_Description,Disability_YN,Age at Start,Age,Reason_for_Leaving,Date_Left,Enrolments,Withdrawals
2017,CBSCCHNUR,BSc Children's Nursing,ENR,2,Full-time,Undergraduate,School of Health,Home/EU,Female,White,White,No Disability,No,27,Mature,,,1,
2017,CBSCADNUR,BSc Adult Nursing,ENR,1,Full-time,Undergraduate,School of Health,Home/EU,Female,White,White,No Disability,No,43,Mature,,,1,
2017,CBSCLDNUR,BSc Learning Disability Nursing,ENR,1,Full-time,Undergraduate,School of Health,Home/EU,Female,White,White,"A disability, impairment or medical condition that is not listed above",Yes,44,Mature,,,1,
2017,PMSCADVPP,MSc Advanced Professional Practice,ENR,1,Part-time,Postgraduate,School of Health,Home/EU,Female,White,White,No Disability,No,44,Mature,,,1,
2017,NUR3015P,Nurse Independent and Supplementary Prescribing (NISP) Nursing and Midwifery Council V300 Programme,ENR,1,Part-time,Undergraduate,School of Health,Home/EU,Female,White,White,No Disability,No,30,Mature,,,1,
2017,CBSCMIDWF,BSc Midwifery,ICAL,3,Full-time,Undergraduate,School of Health,Home/EU,Female,White,White,No Disability,No,36,Mature,,,1,
2017,PMSCADVPP,MSc Advanced Professional Practice,ENR,1,Part-time,Postgraduate,School of Health,Home/EU,Male,White,White,No Disability,No,41,Mature,,,1,
2017,NURM012,NMC V300 Nurse Independent and Supplementary Prescribing (NISP) Nursing & Midwifery Council,ENR,1,Part-time,Not Known,School of Health,Home/EU,Female,White,White,No Disability,No,43,Mature,,,1,
2017,CBSCLDNUR,BSc Learning Disability Nursing,ENR,1,Full-time,Undergraduate,School of Health,Home/EU,Male,White,White,"A specific learning difficulty such as dyslexia, dyspraxia or AD(H)D",Yes,31,Mature,,,1,
2017,CBSCOCCTH,BSc Occupational Therapy,ENR,1,Full-time,Undergraduate,School of Health,Home/EU,Female,White,White,No Disability,No,40,Mature,,,1,
2017,CBSCADNUR,BSc Adult Nursing,ENR,1,Full-time,Undergraduate,School of Health,Home/EU,Female,White,White,No Disability,No,44,Mature,,,1,
2017,CBSCADNUR,BSc Adult Nursing,ENR,3,Full-time,Undergraduate,School of Health,Home/EU,Female,White,White,No Disability,No,33,Mature,,,1,
2017,CBSCCHNUR,BSc Children's Nursing,ENR,3,Full-time,Undergraduate,School of Health,Home/EU,Female,White,White,No Disability,No,29,Mature,,,1,
2017,CBSCOCCTH,BSc Occupational Therapy,ENR,2,Full-time,Undergraduate,School of Health,Home/EU,Female,White,White,"A long standing illness or health condition such as cancer, HIV, diabetes, chronic heart disease, or epilepsy",Yes,29,Mature,,,1,
2017,CBSCMIDWF,BSc Midwifery,ENR,2,Full-time,Undergraduate,School of Health,Home/EU,Female,White,White,No Disability,No,39,Mature,,,1,
2017,DDOCPROFP,Doctor of Professional Practice,ENR,1,Blended Learning,Postgraduate,School of Health,Home/EU,Female,White,White,No Disability,No,43,Mature,,,1,
2017,MID3021,Mentorship Programme Level 6,ENR,1,Part-time,Undergraduate,School of Health,Home/EU,Female,White,White,No Disability,No,27,Mature,,,1,
2017,CBSCADNUR,BSc Adult Nursing,ENR,3,Full-time,Undergraduate,School of Health,Home/EU,Male,White,White,No Disability,No,33,Mature,,,1,
2017,NUR3015P,Nurse Independent and Supplementary Prescribing (NISP) Nursing and Midwifery Council V300 Programme,ENR,1,Part-time,Undergraduate,School of Health,Home/EU,Female,White,White,No Disability,No,41,Mature,,,1,
